subject,predicate,object
祭寨神林,社会学特征,家庭平均分配祭祀牺牲
祭寨神林,社会学特征,摆长街宴通宵达旦
祭寨神林,民族学特征,哈尼族传统文化
祭寨神林,民族学特征,太阳历法和物候历法
祭寨神林,民族学特征,创世迁徙史诗和叙事长诗
祭寨神林,民族学特征,音乐舞蹈
祭寨神林,民族学特征,体察天意、顺应自然以及追求天人和谐的世界观
祭寨神林,历史学特征,祖先迁徙的历史
祭寨神林,历史学特征,源远流长
祭寨神林,符号学特征,哈吧古歌
祭寨神林,符号学特征,棕扇舞
祭寨神林,符号学特征,铓鼓舞
祭寨神林,符号学特征,乐作舞
祭寨神林,美学特征,歌舞升平的景象
大理三月街,社会学特征,文化交流
大理三月街,民族学特征,白族民俗
大理三月街,民族学特征,民族服饰表演
大理三月街,民族学特征,民族器乐演奏
大理三月街,历史学特征,始于唐代永徽年间
大理三月街,历史学特征,由庙会演变而成
大理三月街,历史学特征,与佛教传播相关
大理三月街,符号学特征,张灯结彩
大理三月街,符号学特征,花山搭建
大理三月街,符号学特征,门前放置花木
大理三月街,美学特征,风花雪月自然风光融合
大理三月街,美学特征,娱乐的世界
大理三月街,美学特征,商贸的海洋
大理三月街,社会学特征,射弩活动
大理三月街,社会学特征,摔跤竞技
大理三月街,社会学特征,赛马活动
大理三月街,社会学特征,龙舟竞赛
大理三月街,社会学特征,民族歌舞比赛
大理三月街,民族学特征,珠宝玉器交易
大理三月街,民族学特征,电脑产品市场
大理三月街,符号学特征,地方民族食品一条街
石宝山歌会,民族学特征,白族传统节日
石宝山歌会,历史学特征,流传千年
石宝山歌会,美学特征,白族歌谣艺术
弹弦对调,社会学特征,群体社交活动
本主崇拜,民族学特征,中央本主信仰
阿吒力佛教法事,符号学特征,宗教仪式象征
石雕女阴阿央白,符号学特征,生殖崇拜符号
烧香拜佛,社会学特征,民俗宗教实践
即兴对歌,民族学特征,口头传承方式
创作天才,民族学特征,集体文化创造力
研究资料,历史学特征,人类学价值载体
歌谣诞生地,历史学特征,文化起源标识
通海高台,民族学特征,军屯移民带来的粤闽文化融合
通海高台,历史学特征,清乾隆年间起源于七街镇
通海高台,符号学特征,不露筋骨的铁杆支撑技艺
通海高台,美学特征,顺乎自然天衣无缝的造型艺术
迎高台活动,社会学特征,农历正月十六日集体巡游仪式
高台会组织,历史学特征,清嘉庆道光年间多城镇相继成立
流动舞台设计,符号学特征,一台一戏的戏曲叙事结构
儿童演员选拔,民族学特征,四至五岁孩童扮装传统角色
民俗配套表演,社会学特征,毛驴灯与龙灯协同展演
吹打乐伴奏,美学特征,音乐与视觉艺术的动态平衡
高台制作工艺,历史学特征,《高台会碑》记载传承谱系
闰年规制,符号学特征,十二/十三台的数字象征体系
抬阁飘色渊源,民族学特征,跨省区的文化传播路径
戏曲故事表现,美学特征,微型化的舞台空间美学
浇花节,流行地区,云南省德宏傣族景颇族自治州
浇花节,时间起点,清明节后第七天
浇花节,持续时间,三天
浇花节,主要活动场所,本寨的奘房
浇花节,使用的乐器,象脚鼓
浇花节,舞蹈形式,堆沙舞
浇花节,宗教行为,为佛像冲浴
浇花节,祈愿内容,来年风调雨顺
浇花节,食物供奉方式,摆到佛像前的供盘中
浇花节,集体行动路线,排成长队以象脚鼓队为前导翻山越岭来到井旁或泉边取水
浇花节,取水仪式环节,举行取水供物仪式
浇花节,青年社交活动,传烟、对歌、赛舞等文艺表演
浇花节,文化涉及方面,宗教礼仪
浇花节,文化涉及方面,民间歌舞
浇花节,文化涉及方面,婚姻习俗
浇花节,文化涉及方面,传统饮食
昌宁苗族服饰,制作工艺,手摇机纺线+土布机织造
昌宁苗族服饰,图案创作主体,苗族妇女
昌宁苗族服饰,结构组成,十八一件套
昌宁苗族服饰,色彩特征,红/黄/橙/白为主色调
昌宁苗族服饰,工艺特色,刺绣技法
昌宁苗族服饰,关联文学形式,《种麻纺织调》
昌宁苗族服饰,关联文学形式,《纺织调》
昌宁苗族服饰,关联文学形式,《刺绣调》
昌宁苗族服饰,历史研究价值,追溯苗族历史发展进程
昌宁苗族服饰,反映内容,苗族审美意识
昌宁苗族服饰,社会学特征,民族传统手工艺传承
昌宁苗族服饰,民族学特征,苗族文化符号体系
昌宁苗族服饰,历史学特征,服饰演变见证史
昌宁苗族服饰,符号学特征,图案象征系统
昌宁苗族服饰,美学特征,大胆用色风格
绕三灵,社会学特征,强化文化认同感
绕三灵,社会学特征,增强白族凝聚力
绕三灵,民族学特征,本主崇拜仪式
绕三灵,民族学特征,插花戴朵服饰习俗
绕三灵,历史学特征,传承历史久远
绕三灵,历史学特征,一千多年历史
绕三灵,符号学特征,柳树枝与牛尾象征物
绕三灵,符号学特征,霸王鞭/金钱鼓法器
绕三灵,符号学特征,扇子舞/草帽道具
绕三灵,美学特征,一字长蛇阵队列形式
绕三灵,美学特征,载歌载舞动态艺术
绕三灵,美学特征,苍山洱海自然背景
绕三灵,符号学特征,三塔崇圣寺朝拜路径
绕三灵,符号学特征,南北朝拜空间结构
绕三灵,历史学特征,唐代三塔关联性
绕三灵,民族学特征,农忙节令时间选择
绕三灵,社会学特征,跨村庄集体参与
傈僳族刀杆节,民族学特征,自然崇拜的产物
傈僳族刀杆节,民族学特征,爱国主义精神和不畏艰险的民族精神的体现
傈僳族刀杆节,历史学特征,纪念明代兵部尚书王骥
傈僳族刀杆节,符号学特征,“阿堂得”意为爬刀节
上刀山,美学特征,表演者赤脚踏着锋利的钢刀逐级爬至刀杆顶端
下火海,美学特征,表演者踏入通红炽热的炭火中表演绝技
开天门、挂红、撒谷,符号学特征,上刀杆顶端依次进行的表演
傈僳族刀杆节,社会学特征,具有了更广泛的群众性
怒族仙女节,流传地区,云南省怒江傈僳族自治州贡山独龙族怒族自治县丙中洛乡
怒族仙女节,举行时间,每年农历三月十五日
怒族仙女节,持续时间,三天
怒族仙女节,活动类别,体育竞技
怒族仙女节起源说法一,源于,原始崇拜
怒族仙女节起源说法二,是,怒族早期母系氏族尊崇女性的遗俗
怒族信仰对象,包括,仙女
怒族信仰目的,为,祈求安泰
纪念对象,是,传说中的仙女阿茸姑娘
形成习俗时间点,在,阿茸姑娘死后的第二年农历三月十五
仪式环节,包括,主祭人念祝辞
仪式环节,包括,大家口头献贡
现代演变趋势,表现为,祭祀仪式渐渐淡化
现代主要活动内容,变为,歌舞求福和体育竞技
社会基础特征,体现,原始宗教意识
社会基础特征,包含,自然崇拜
社会基础特征,包含,生殖崇拜
文化影响因素,受,藏传佛教文化影响
文化价值,在于,对怒族传统文化传承有重要价值
传承状态,曾因外界冲击,一度中断
恢复时间节点,始于,十一届三中全会以后
卡雀哇节,社会学特征,剽牛仪式
卡雀哇节,民族学特征,跳锅庄舞蹈
卡雀哇节,民族学特征,火塘烧松叶求吉祥习俗
卡雀哇节,历史学特征,历法起源及变迁历史研究载体
卡雀哇节,符号学特征,木罗酒饮用仪式
卡雀哇节,符号学特征,射击猎物模型象征活动
卡雀哇节,美学特征,节庆时间跨度设计
卡雀哇节,美学特征,上下游村寨次第过节的空间序列美
卡雀哇节,社会学特征,社会组织机制研究样本
卡雀哇节,历史学特征,无文字族群文化保存实例
卡雀哇节,符号学特征,自然敬畏理念表达符号
卡雀哇节,美学特征,独龙江流域整体庆典景观
目瑙纵歌,流传地区,云南省德宏傣族景颇族自治州
目瑙纵歌,民族归属,景颇族
目瑙纵歌,产生年代,原始社会时期
目瑙纵歌,主要活动,跳目瑙纵歌舞
舞场中心木柱,功能,祭祀太阳和指示舞蹈路线
柱侧刀矛,象征意义,人民强悍刚毅的性格
柱档两端木雕,造型内容,犀鸟、孔雀
活竹高竿,寓意,生命常青
横匾图案,描绘对象,喜马拉雅山
目瑙节,现代性质,欢庆丰收的歌舞娱乐民俗节日
目瑙纵歌,表现形式分类,苏目瑙/巴当目瑙/定栓目瑙/结如目瑙等十几种
舞蹈动作特征,韵律特点,顿步摆肩
参与规模,范围描述,方圆百十里上万人
社会作用,功能体现,加强民族关系、增强民族团结
法定地位,确立机构,德宏州人大常委会
法定日期,时间规定,每年正月十五、十六日
跨境分布,居住区域,缅甸北部、印度北部
国内代表地区,典型区域,陇川县
文化价值,研究领域,景颇族历史文化研究
彝族火把节,举行时间,农历六月二十四日
赫章县,人口最多少数民族,彝族
彝族火把节,当地彝语名称,朵扔吉
彝族火把节,文化功能,增强本民族凝聚力
彝族火把节,社会作用,增进民族团结
彝族火把节,研究领域,民族学
彝族火把节,研究领域,天文学
彝族火把节,流行范围,彝族聚居村寨
朵扔吉,对应节日,火把节
德宏泼水节,民族学特征,傣族/德昂族/阿昌族共同参与
德宏泼水节,历史学特征,近千年的历史
德宏泼水节,符号学特征,浴佛仪式
德宏泼水节,符号学特征,燃放孔明灯
德宏泼水节,符号学特征,飘水灯
德宏泼水节,符号学特征,放高升
德宏泼水节,美学特征,歌舞活动
德宏泼水节,美学特征,武术表演
德宏泼水节,美学特征,男女丢包抛绣球
德宏泼水节,民族学特征,南传佛教宗教仪式与傣族传统礼仪结合
德宏泼水节,历史学特征,稻作文明基础
德宏泼水节,社会学特征,物质和精神文明传承载体
德宏泼水节,民族学特征,呈现傣族传统文化显著特点
傣医药,核心理论,四塔
傣医药,核心理论,五蕴
傣医药,核心理论,和解药理论
睡药疗法,类型,冷睡
睡药疗法,类型,热睡
傣族人口,主要分布地区,德宏傣族景颇族自治州
傣医四塔、五蕴学说,关联宗教,佛教教义
睡药疗法,符合,傣医理论
睡药疗法,符合,群众习俗
傣医药药物来源,特点,就地取材
傣医药资源特点,优势,资源丰富
睡药疗法,具有价值,广泛应用推广价值
彝医药,分布地区,四川凉山
彝医学,理论基础,天地元气分为清浊二气
人体,清气运行路径,络胸、腹、五脏
人体,六气作用方式,上下贯通制衡内外邪毒
水膏药疗法,治疗功效,清热解毒
水膏药疗法,使用水源,井水或冰水、雪水
水膏药疗法,调和介质,草药
水膏药疗法,敷用部位,患处
水膏药疗法,适用症状,疖肿疮毒尚未破溃
水膏药疗法,调制方法,切碎捣烂加井水或冰水、雪水调成糊状
水膏药疗法,外敷材料,纱布包住
水膏药疗法,更换频率,每天一次
所用草药,包括种类,地胆
所用草药,包括种类,迎春花
所用草药,包括种类,野菊花
水性透凉特性,治疗作用,清热
水性透凉特性,治疗作用,解毒
水性透凉特性,治疗作用,消肿
水性透凉特性,治疗作用,镇痛
彝族地区气候特征,环境特点,湿热
彝族地区疾病谱系,常见病症,瘴疠疫气
彝族地区疾病谱系,常见病症,毒疖肿痈疽
迪庆藏医骨伤疗法,基于,传统藏医创伤学理论
迪庆藏医骨伤疗法,构成步骤,整复
迪庆藏医骨伤疗法,构成步骤,外敷药加夹板或牵引固定
迪庆藏医骨伤疗法,构成步骤,功能锻炼
骨折初期,使用外敷药,伤科一号
伤科一号,成分包括,冰片
伤科一号,成分包括,红花
伤科一号,成分包括,雪山一枝蒿
骨折初期,内服藏药,桑琼丸
骨折初期,内服藏药,十味乳香丸
骨折初期,内服藏药,十八味杜鹃花丸
伤科二号,成分包括,铁箍散
伤科二号,成分包括,红花
伤科二号,成分包括,骨碎补
伤科二号,成分包括,当归
伤科二号,成分包括,榛皮
中期,内服藏药,接骨消炎丸
中期,内服藏药,八味榛皮丸
中期,内服藏药,达尔强散
后期,内服药丸,石榴日轮丸
后期,内服药丸,巴桑母酥油丸
云南藏族,主要分布地区,迪庆州
迪庆藏医药,应用人群以...为主,藏族群众
迪庆藏医骨伤疗法,交流交叉为用对象,傈僳族
迪庆藏医骨伤疗法,交流交叉为用对象,白族
迪庆藏医骨伤疗法,特点,疗效好
迪庆藏医骨伤疗法,特点,取材便宜
迪庆藏医骨伤疗法,受信任群体,周边人民群众
乌铜走银制作技艺,发源地,云南省石屏县岳家湾村
岳永兄弟,家族渊源,抗金名将岳飞后裔
乌铜走银制作技艺,经营方式,岳氏独家经营
乌铜走银,历史地位,与北京景泰蓝齐名并称天下铜艺双绝
乌铜走银,原料组成,铜、金等贵金属
乌铜走银,工艺步骤,熔化后做成坯
乌铜走银,工艺步骤,在坯上雕刻花纹图案
乌铜走银,工艺步骤,将熔化的银金走入细密花纹图案中
乌铜走银,工艺步骤,冷却后打磨光滑
乌铜走银,祖传工艺效果,使底铜变成乌黑色透出银金纹图案
乌铜走银,装饰特征,黑白黄分明
乌铜走银,命名原因,多以镶嵌白银为主
乌铜走银制品,常见类型,墨盒、笔筒、酒壶、香炉、花瓶等日常用具
乌铜走银制品,造型特点,奇巧
乌铜走银制品,制作水平,精细
乌铜走银制品,收藏属性,具有收藏价值
乌铜走银制作技艺,涉及传统技艺,冶金、錾刻、绘画
乌铜走银制作技艺,文化价值维度,历史、科学和文化艺术价值
乌铜走银制作技艺,传承模式,家庭内部传承为主
乌铜走银制作技艺,生产方式,全手工操作
乌铜走银制作技艺,濒危原因,制品价格高
乌铜走银制作技艺,现状评估,后继乏人
宣威火腿,齐名对象,浙江金华火腿
宣威火腿,别称,云腿
宣威火腿,产生时间,明末
宣威火腿,成名时间,清雍正五年
宣威火腿,获奖事件,广州名特食品会优质奖章
宣威火腿,生产模式演变,专业化、规模化、系列化生产
宣威火腿,品质基础,色香味美营养丰富风味独特
《宣威县志稿》,记载内容,“宣腿著名天下气候使然”
宣威火腿,核心秘密,自然环境、气候条件和制作工艺
宣威火腿,形态特征,形似琵琶
宣威火腿,结构特点,只大骨小皮薄肉厚肥瘦适中
宣威火腿,断面特征,香气浓郁色泽鲜艳
宣威火腿,肥肉颜色,乳白色
宣威火腿,骨头特征,略显桃红似血气尚在滋润
下关沱茶,民族归属,白族人民
云南下关,气候特征,空气湿润四季温和日照时间长
沱茶早期形式,文献记载,《滇略》
永昌祥商帮,开创时间,年大理喜洲时期
永昌祥商帮,业务类型,茶叶精制加工
沱茶工艺,产品类型,紧茶和饼茶
沱茶运输路线,贸易通道,茶马古道
沱茶生产技艺,操作方式,手工操作
沱茶工艺,技术属性,具有地区特征的技术知识
唐代,销售范围,内地和西藏
明代,消费盛况,士庶所有皆普洱茶
清代,贡品身份,朝廷增设官茶局专司茶事
宁洱哈尼族彝族自治县,产地,云南普洱茶
勐海县,旧称,佛海
佛海,称号属性,世界茶树发源地之一
范和钧,创建机构,勐海茶厂
勐海茶厂,生产品牌,大益牌普洱茶
大益牌普洱茶,品牌荣誉,中国名牌农产品
大益茶制作技艺,关键要素,拼配
大益茶制作技艺,关键要素,发酵
拼配,定义描述,根据茶叶品种特点进行有效合理组合取长补短
大益茶制作技艺,贡献领域,普洱茶生产发展
明代,市场状况,士庶所有皆普洱茶
清代,贡品地位,被列为贡品
清代,管理机构,官茶局
云南普洱茶,主要产地,勐海县
宁洱县普洱茶制作技艺,别称,贡茶制作技艺
贡茶制作技艺,形成基础,千百年实践经验积累
茶叶采摘前,仪式活动,祭礼/向茶神行敬献仪式
制茶者,原料选择方式,手摘
原料处理阶段,加工工艺,杀青揉晒
鲜叶加工目标产品,名称,晒青茶
蒸压成型工序,包含步骤,蒸、揉、压、定型、干燥、包装
普洱贡茶,文化属性,中华茶文化重要组成部分
普洱贡茶传统制作技艺,现代应用价值,工艺研发基础
普洱贡茶,研究学科领域,历史文化
普洱贡茶,研究学科领域,民族学
普洱贡茶,研究学科领域,民俗学
普洱贡茶,研究学科领域,科技史
普洱贡茶,符合现代趋势,健康文化消费
贝叶经,民族学特征,是傣族传统文化的重要载体
贝叶经,历史学特征,最早起源于古代印度公元世纪前后传入斯里兰卡复经缅甸、泰国传入我国云南省西南边疆地区
贝叶经,美学特征,具有多种规格包括每页四行式、五行式、六行式和八行式四种
傣文贝叶经,社会学特征,被傣族人民视为传世之宝并誉之为运载傣族历史文化的神舟
贝叶经,社会学特征,西双版纳的许多佛寺和普通百姓家都虔敬地加以珍藏
贝叶经,民族学特征,除傣文外还有用老挝文、缅甸文、泰国文刻写的版本
贝叶经,历史学特征,现在发现有遗存的国家包括中国、印度、泰国、缅甸、老挝、斯里兰卡等国
傣族象脚鼓制作技艺,历史时长,五百多年
傣族象脚鼓制作技艺,代表性人物,俸传诗
傣族象脚鼓,形状象征,白象腿
傣族象脚鼓,文化意义,图腾崇拜
傣族象脚鼓,使用场合,泼水节
傣族象脚鼓,使用场合,关门节
傣族象脚鼓,使用场合,千灯节
傣族象脚鼓,使用场合,开门节
傣族象脚鼓,使用场合,立幡杆节
傣族象脚鼓,文化功能,文化传承载体
傣族象脚鼓制作技艺,关联国家,缅甸
临翔区傣族象脚鼓,特色类型,中小型
临翔区傣族象脚鼓,设计特点,轻便型
临翔区傣族象脚鼓,地域特征,实用型
傣族象脚鼓制作技艺,影响范围,中缅边境地区
傣族象脚鼓,美学特征,真善美追求
傣族象脚鼓,哲学理念,人与自然和谐发展
秦汉时期,朱提/堂琅,生产朱提洗/堂琅洗
明代,云南铜器匠师,采用冷锻成型方法
斑铜矿石产地,东川附近,天然资源利用
斑铜成分,铜掺杂金/银,形成特殊辉斑
斑铜颜色类别,深蓝/紫金/赤红,包含金黄色最耀眼
斑铜工艺特点,表面抛光后,古铜色底子显斑彩效果
斑铜制品独特性,各器物斑影,无一雷同
斑铜技艺属性,云南传统手工艺,历史与文化价值
保护发展意义,展现民族文化创造力,重要意义体现
傣族织锦,民族学特征,傣族传统手工艺最早期的重要品种
傣族织锦,历史学特征,傣族先民劳动的产物
傣族织锦,符号学特征,高洁的荷花
傣族织锦,符号学特征,吉祥的孔雀
傣族织锦,符号学特征,庄重的大象
傣族织锦,符号学特征,威严的麒麟和龙凤
傣族织锦,符号学特征,佛塔
傣族织锦,美学特征,白底衬托单一独立的图案
傣族织锦,美学特征,多次重复的连续图案
傣族织锦,美学特征,剪影式的侧面造型
傣族织锦,美学特征,形象生动、轮廓鲜明
傣族织锦,美学特征,对称性
傣族织锦,美学特征,对比性
傣族织锦,美学特征,连续性
傣族织锦,美学特征,疏密结合
傣族织锦,美学特征,具象和抽象结合
傣族织锦,美学特征,含蓄又明朗
傣族织锦,美学特征,想像丰富
傣族织锦,美学特征,构思巧妙
傣族织锦,美学特征,手法独特
藏族黑陶烧制技艺,主要分布于,云南省迪庆藏族自治州香格里拉县尼西乡汤堆村
藏族黑陶烧制技艺,主要分布于,四川省稻城县赤土乡阿西村
藏族黑陶烧制技艺,主要分布于,青海省玉树地区囊谦县
汤堆村村民,拥有,烧制黑陶的传统手工艺
汤堆村藏族黑陶烧制工艺,采用原料,白色和红色陶土加风化沙石研磨而成的石粉
汤堆村藏族黑陶烧制工艺,包括步骤,练土
汤堆村藏族黑陶烧制工艺,包括步骤,制坯
汤堆村藏族黑陶烧制工艺,包括步骤,镶瓷
汤堆村藏族黑陶烧制工艺,包括步骤,磨光
汤堆村藏族黑陶烧制工艺,包括步骤,装饰
汤堆村藏族黑陶烧制工艺,包括步骤,阴干
汤堆村藏族黑陶烧制工艺,包括步骤,渗炭
汤堆村藏族黑陶烧制工艺,包括步骤,防裂
汤堆村制作陶坯方法,是,泥条盘筑法
汤堆村藏族黑陶手工艺产品,分为类别,日常生活用品
阿西村黑陶原料,由...组成,当地泥土加其他两种泥土混合
阿西村黑陶成型方式,采用,捏、捶、敲、打等手工技艺
阿西村黑陶装饰材料,使用,碎瓷片
阿西村烧制黑陶燃料,使用,松柴
囊谦藏族黑陶技艺起源,相传来自,唐代文成公主进藏和亲途经玉树地区时流传
囊谦藏族黑陶制作工艺,包括步骤,手工捣碎
囊谦藏族黑陶制作工艺,包括步骤,拉坯
囊谦藏族黑陶制作工艺,包括步骤,晾晒
囊谦藏族黑陶制作工艺,包括步骤,修整
囊谦藏族黑陶制作工艺,包括步骤,压光
囊谦藏族黑陶制作工艺,包括步骤,绘制
囊谦藏族黑陶烧制方法,采用,封罐熏烟渗碳法
囊谦藏族黑陶制品类型,包括,壶
囊谦藏族黑陶制品类型,包括,香炉
囊谦藏族黑陶制品类型,包括,宗教用品
囊谦藏族黑陶烧制技艺,具有价值,藏文化发展史研究方面的学术价值
囊谦藏族黑陶烧制技艺,具有价值,藏汉文化交流史研究方面的学术价值
囊谦藏族黑陶烧制技艺,体现特征,社会学特征
囊谦藏族黑陶烧制技艺,体现特征,民族学特征
囊谦藏族黑陶烧制技艺,体现特征,历史学特征
囊谦藏族黑陶烧制技艺,体现特征,符号学特征
囊谦藏族黑陶烧制技艺,体现特征,美学特征
碗窑村,所属地区,建水县
碗窑村,产业特色,烧制建水紫陶
碗窑村,从业人口规模,近三千人
建水陶器烧制技艺,起始时间,清代道光年间
碗窑村,早期制陶历史,宋元时代烧制一般陶器
元代龙窑,考古证据,陶器残片
建水陶土,颜色特征,紫色
建水紫陶,别称来源,所用陶土呈紫色
建水陶器,材料安全性,无铅无毒
建水陶器,物理特性,良好透气性能
建水陶器,音响特征,叩之清脆如磬
建水陶器装饰题材,主要内容,传统中国书法绘画
建水陶器风格,美学评价,古朴高雅文气盎然
白地东巴纸,社会学特征,家庭作坊进行生产
白地东巴纸,社会学特征,不外传
白地东巴纸,民族学特征,纳西族
白地东巴纸,民族学特征,东巴文化发祥地
白地东巴纸,历史学特征,中国造纸术与印巴次大陆造纸法兼容并蓄
白地东巴纸,符号学特征,写经用纸
白地东巴纸,美学特征,不易遭虫蛀可长期保存
白地东巴纸,原料,瑞香科丽江荛花
白地东巴纸,制作工序,采集原料
白地东巴纸,制作工序,晒干
白地东巴纸,制作工序,蒸煮
白地东巴纸,制作工序,洗涤
白地东巴纸,制作工序,舂料
白地东巴纸,制作工序,再舂料
白地东巴纸,制作工序,浇纸
白地东巴纸,制作工序,贴纸
白地东巴纸,制作工序,晒纸
白地东巴纸,工具,纸帘
白地东巴纸,工具,木框
白地东巴纸,工具,晒纸木板
白地东巴纸,工具,木臼
白地东巴纸,文化贡献,弘扬东巴文化
白地东巴纸,研究价值,研究我国手工造纸的难得实例
白地东巴纸,濒危状况,随时都有消亡的可能
白地东巴纸,保护需求,急需抢救和保护
芦笙,用途,民间娱乐
芦笙,地位,圣器
民间信仰,认为,芦笙带来风调雨顺
民间信仰,认为,芦笙使五谷丰登
民间信仰,认为,芦笙与神灵沟通
民间信仰,认为,芦笙与先祖交流
《楚辞》,记载,芦笙
《黔书》,记载,芦笙
贵州省凯里市舟溪镇新光村,居住着,潘姓苗族居民
新光村,有,芦笙工匠
新光家谱,记载,十九代定居
