term,definition
崇高,指审美对象在体积、力量或精神境界上超越常规，引起敬畏与赞叹的情感体验。
优美,指审美对象在形式上和谐、匀称、柔和，引起愉悦和宁静的情感体验。
悲剧,指主人公遭受不应有的苦难或毁灭，引起怜悯与恐惧，从而净化心灵的艺术形态。
喜剧,指通过夸张、讽刺等手法表现生活中的矛盾，引起笑声和思考的艺术形态。
意境,指艺术作品中情景交融、虚实相生，能引发读者无限遐想的审美空间。
祭祀,是人类向神灵、祖先或自然灵献祭致敬，以祈福消灾的传统仪式性文化行为。
庆典,为纪念特定重大事件、节日或成就，举办的兼具仪式感与公共性的集体庆祝活动。
寓言,以虚构短小故事承载讽喻、哲理内核，常借动植物形象传递社会与人生智慧的文学体裁。
神话,远古人类以超自然想象解释世界起源、自然现象与族群始祖的集体口头叙事作品。
史诗,源自早期人类社会，以英雄传说、重大历史事件为核心，兼具神话与历史色彩的庄严长篇叙事诗。
小说,以虚构叙事为核心，通过塑造人物、铺陈情节与构建场景反映社会生活的散文体文学体裁。
民族,基于共同地域、语言、经济生活与文化心理认同，长期形成的稳定人类共同体。
部落,原始社会中由同一血缘或近缘氏族联合而成，拥有共同领地与习俗的基层社会组织。
宗教,以超自然神圣信仰为核心，配套形成教义、仪式、教团与规范的系统性精神文化体系。
村社,以村落地缘为纽带，由多户家庭联合而成，兼具生产互助与公共治理功能的基层社群组织。
母权制,原始社会早期以女性为核心，按母系血缘传承世系、财产与社会权力的氏族制度。
父权制,私有制产生后形成的以男性为权力核心，按父系血缘继承世系与财产的社会制度。
走婚,部分少数民族保留的不组建固定家庭，男女通过走访建立临时偶居关系的特殊婚姻形态。
群婚,原始社会早期无固定配偶，族群内不同辈分或同辈分群体互为夫妻的原始婚姻制度。
朝代,古代由同一血脉家族世袭掌控最高统治权，拥有明确国号与存续时段的政权传承周期。
寒门,古代社会中无高官权贵家族背景、经济条件普通的平民或底层士人家庭。
寒士,出身贫寒却拥有学识与抱负，未跻身上层统治阶层的底层读书人。
士大夫,中国古代兼具官僚身份与文人属性，以“修身齐家治国平天下”为核心追求的知识精英与统治阶层。
禅让,古代帝王在位时间达到一定年限后，主动让位于贤能或子嗣，以实现皇权平稳过渡的政治制度。
世袭,指家族成员按血缘关系继承家族地位、权力或财产的制度。
有神论,认为宇宙万物皆由神所创造、维护和管理的宗教信仰体系。
泛神论,认为宇宙万物皆具有神灵性质，但无单一至高神存在的宗教信仰体系。
无神论,认为宇宙万物皆由自然规律所决定，不存在超自然神灵的宗教信仰体系。
法术,指通过特定仪式、咒语或符箓等手段，借助神灵力量实现特定目的的宗教活动。
巫术,指借助神秘力量或超自然现象，实现特定目的的宗教活动。
忏悔,宗教信仰者对自己的罪过进行反省、悔过，以寻求神灵宽恕的精神活动。
皈依,宗教信仰者自愿加入某个宗教团体，接受其教义、仪式和规范的信仰行为。
