项目编号,主体,关系,客体
1,哈尼族,举行,祭寨神林
1,祭寨神林,时间,一月中旬
1,祭寨神林,目的,祈求来年 风调雨顺
1,祭寨神林,目的,五谷丰登
1,祭 寨神林,目的,人畜平安
1,祭寨神林,流传地区,云南省哈尼族 村落
1,元阳县各乡镇,举办,最隆重的节庆大典
1,最隆重 的节庆大典,名称,祭寨神林
1,哈播村 一带,祭寨神林节 期开始于,农历腊月 第一个辰龙日
1,哈播村一带,祭寨神林延续到,午马日
1,哈播村 一带,祭寨神林节 期时长,三天
1,节日第一天,活动,清扫寨子
1,节日 第一天,活动,杀鸡
1,节日第一天,活动,舂 糯米粑粑
1,节日第一天,活动,染三色鸭蛋
1,寨 老,带领,男子
1,男子,特征,家道兴旺 品行端正
1,祭祀牺牲,分配方式,按全村家庭平均分配
1,家庭成员,必须尝一口,祭祀 牺牲
1,禽畜,必须尝一口,祭祀牺牲
1,祭祀牺牲,用途,拌进五谷种子 里
1,第二和第三天,活动,摆长街宴
1,第二和第三天,活动,通宵达旦 吟唱古老的哈吧古歌
1,老人,讲述,祖先迁徙的历史
1,老人,传授,安身 立命的伦理道德
1,老人,传授,梯田耕作的技术
1,老人,作出评价,每一个村民 一年来的德行
1,哈尼族,说法,“不唱哈吧寨 子不安宁”
1,哈尼族,说法,“不跳棕扇 舞人丁不安康”
1,哈尼 族,说法,“不跳 铓鼓舞谷穗不饱满”
1,哈 尼族,说法,“不 跳乐作舞禽畜不兴旺 ”
1,祭寨神林,展现,哈尼族传统文化
1,哈尼 族传统文化,包括,太阳历 法
1,哈尼族传统文化,包括,物候历法
1,哈尼族 传统文化,包括,创世迁徙 史诗
1,哈尼族传统文化,包括,叙事长诗
1,哈尼族传统文化,包括,音乐舞蹈
1,祭寨 神林,体现,世界观
1,世界观,内容,体察 天意
1,世界观,内容,顺应自然
1,世界观,内容,追求天人和谐
1,祭寨神林,是序曲,春 耕备耕
1,祭寨神林,彰显,梯田耕作的 礼仪
1,祭寨神林,彰显,梯田耕作的技术
1,祭寨 神林,彰显,梯 田耕作的禁忌
1,祭寨神林,趋势,规模越来越大
1,祭 寨神林,趋势,影响越来越广
1,传统史诗、知识、 技术和价值观的传承,状态,日渐淡化
1,传统史诗、知识、 技术和价值观的传承,需求,急需加以保护
2,大理三月街,所属民族,白族
2,大理三月 街,地理位置,云南省 大理白族自治州大理市大理古城
2,大理三月街,起源时间,唐代永徽 年间
2,大理三月 街,演变来源,庙 会
2,大理三月 街,关联因素,佛教 传播
2,大理三月 街,街期时长,七天
2,大理三月 街,开始日期,农历 三月十五日
2,大理三月街,结束日期,农历三月二十一日
2,大理三月街,参与 人数规模,以百万计
2,大理三月街,参与者范围,全国各地及 海外
2,大理 三月街,活动类型,民族文体活动
2,大理三月街,活动类型,物资交易
2,大理三月街,活动 类型,文化交流
2,大理三月街,传统 交易品类,药材
2,大理三月街,传统交易品类,大牲畜
2,大理三月街,传统交易品类,日 用百货
2,大理三月街,新增街区,洋人街
2,大理三月街,新增 街区,地方民族食品一条街
2,大理三月 街,新增交易市场,珠宝玉器
2,大理三月街,新增交易 市场,电脑产品
2,大理三月街,装饰特色,张灯结彩
2,大理三月 街,景观元素,花 山
2,大理 三月街,家庭布置,门前放置花木
2,大理三月街,融合 元素,风花雪月自然 风光
2,大理 三月街,融合元素,人文景象
2,大理三月街,文体活动,山歌对唱
2,大理三月街,文体活动,民族器乐演奏
2,大理三月 街,文体活动,灯 展
2,大理 三月街,文体活动,花展
2,大理三月街,文体活动,民族服饰表演
2,大理三月街,文体 活动,射弩
2,大理三月街,文体活动,秋千
2,大理三月街,文体活动,摔跤
2,大理三月街,文体活动,赛马
2,大理三月街,文体活动,龙舟
2,大理三月 街,文体活动,民族 歌舞比赛
2,大理三月街,研究价值领域,经济
2,大理三月街,研究价值 领域,文化
2,大理三月街,研究 价值领域,民俗
2,大理三月街,研究价值领域,宗教
3,石宝山 歌会,举办地点,云南 大理州剑川县石 宝山
3,石宝山歌会,举办 时间,每年农历七月二十七至 八月初一
3,石 宝山歌会,参与人群,剑川、洱源、 丽江、大理、兰坪等地的 白族群众
3,石宝山歌会,主要 活动,弹弦对调以 歌觅偶
3,石宝山歌会,相关 民俗活动,到各寺庙烧 香拜佛
3,石宝山歌会,相关 民俗活动,参加阿吒力 佛教法事
3,石宝山歌会,相关 民俗活动,白族地区中央 本主及石雕女阴阿 央白朝拜
3,石宝山歌会,核心形式,即兴对歌
3,石宝山 歌会,融合内容,弹弦唱曲
3,石宝山歌会,融合内容,求神拜 佛
3,石 宝山歌会,融合内容,本主崇拜
3,石宝山歌会,融合内容,以歌 觅偶
3,石宝山歌会,文化 特征,多元文化和谐共处
3,石宝 山歌会,历史地位,白族歌谣诞生的摇篮
3,石宝 山歌会,历史地位,白族歌谣发展传播的 基地
3,石 宝山歌会,研究价值,为人类学提供珍贵研究资料
3,石宝 山歌会,研究价值,为民族学提供珍贵研究资料
3,石宝 山歌会,研究价值,为历史学提供珍贵研究资料
3,石宝 山歌会,研究价值,为考古学提供珍贵研究资料
3,石宝山 歌会,研究价值,为美学提供珍贵研究资料
4,从通海 高台,属于,云南省通 海县传统节庆民俗 活动
4,明清 时军屯移民,传播,粤、闽等省的抬 阁和飘色到云南
4,《高台会碑 》,立碑时间,清道光二十二年四月二十七日
4,原通海 、河西两县迎高台,兴起于,清乾隆年间
4,七街,开始流传至,河西城 、通海城以及各村落
4,清嘉庆、道 光年间,成立高台会 的地区包括,七街、通 海县城、河西县城、四街 、杨广
4,高台巡游,举行日期,每年农历正月十六日
4,一般年份,高台数量为,十二台
